speaker_id,filepath
id10002,..\data\vox1_indian\id10002\6WO410QOeuo\00009.wav
id10002,..\data\vox1_indian\id10002\TqUbiOgEb0w\00006.wav
id10002,..\data\vox1_indian\id10002\QnnjJ9i5WFs\00002.wav
id10002,..\data\vox1_indian\id10002\RLKKsYiCMvc\00019.wav
id10002,..\data\vox1_indian\id10002\RLKKsYiCMvc\00011.wav
id10002,..\data\vox1_indian\id10002\gaQqIoV_aLY\00005.wav
id10002,..\data\vox1_indian\id10002\RLKKsYiCMvc\00029.wav
id10002,..\data\vox1_indian\id10002\RLKKsYiCMvc\00021.wav
id10002,..\data\vox1_indian\id10002\cMGEuZ1zqXk\00003.wav
id10002,..\data\vox1_indian\id10002\cMGEuZ1zqXk\00004.wav
id10002,..\data\vox1_indian\id10002\C7k7C-PDvAA\00001.wav
id10002,..\data\vox1_indian\id10002\QanuGhOhb9A\00003.wav
id10002,..\data\vox1_indian\id10002\Y2Gr1I2DO7M\00001.wav
id10002,..\data\vox1_indian\id10002\RLKKsYiCMvc\00010.wav
id10002,..\data\vox1_indian\id10002\RLKKsYiCMvc\00025.wav
id10002,..\data\vox1_indian\id10002\QanuGhOhb9A\00009.wav
id10002,..\data\vox1_indian\id10002\TqUbiOgEb0w\00004.wav
id10002,..\data\vox1_indian\id10002\gaQqIoV_aLY\00007.wav
id10002,..\data\vox1_indian\id10002\6WO410QOeuo\00001.wav
id10002,..\data\vox1_indian\id10002\TqUbiOgEb0w\00001.wav
id10002,..\data\vox1_indian\id10002\QanuGhOhb9A\00011.wav
id10002,..\data\vox1_indian\id10002\RLKKsYiCMvc\00008.wav
id10002,..\data\vox1_indian\id10002\RLKKsYiCMvc\00006.wav
id10002,..\data\vox1_indian\id10002\6WO410QOeuo\00008.wav
id10002,..\data\vox1_indian\id10002\6WO410QOeuo\00007.wav
id10002,..\data\vox1_indian\id10002\QanuGhOhb9A\00026.wav
id10002,..\data\vox1_indian\id10002\QanuGhOhb9A\00019.wav
id10002,..\data\vox1_indian\id10002\QanuGhOhb9A\00018.wav
id10002,..\data\vox1_indian\id10002\RLKKsYiCMvc\00005.wav
id10002,..\data\vox1_indian\id10002\RLKKsYiCMvc\00036.wav
id10002,..\data\vox1_indian\id10002\6WO410QOeuo\00002.wav
id10002,..\data\vox1_indian\id10002\RLKKsYiCMvc\00007.wav
id10002,..\data\vox1_indian\id10002\eNc4LrrvV80\00008.wav
id10002,..\data\vox1_indian\id10002\RLKKsYiCMvc\00001.wav
id10002,..\data\vox1_indian\id10002\TqUbiOgEb0w\00007.wav
id10002,..\data\vox1_indian\id10002\TqUbiOgEb0w\00010.wav
id10002,..\data\vox1_indian\id10002\QanuGhOhb9A\00012.wav
id10002,..\data\vox1_indian\id10002\RLKKsYiCMvc\00030.wav
id10002,..\data\vox1_indian\id10002\eNc4LrrvV80\00002.wav
id10002,..\data\vox1_indian\id10002\RLKKsYiCMvc\00022.wav
id10002,..\data\vox1_indian\id10002\RLKKsYiCMvc\00028.wav
id10002,..\data\vox1_indian\id10002\eNc4LrrvV80\00001.wav
id10002,..\data\vox1_indian\id10002\6WO410QOeuo\00004.wav
id10002,..\data\vox1_indian\id10002\eNc4LrrvV80\00010.wav
id10002,..\data\vox1_indian\id10002\RLKKsYiCMvc\00024.wav
id10002,..\data\vox1_indian\id10002\QanuGhOhb9A\00007.wav
id10002,..\data\vox1_indian\id10002\TqUbiOgEb0w\00009.wav
id10002,..\data\vox1_indian\id10002\C7k7C-PDvAA\00002.wav
id10002,..\data\vox1_indian\id10002\QanuGhOhb9A\00029.wav
id10002,..\data\vox1_indian\id10002\QanuGhOhb9A\00024.wav
id10002,..\data\vox1_indian\id10002\6WO410QOeuo\00010.wav
id10002,..\data\vox1_indian\id10002\xTV-jFAUKcw\00003.wav
id10002,..\data\vox1_indian\id10002\eNc4LrrvV80\00009.wav
id10002,..\data\vox1_indian\id10002\QanuGhOhb9A\00005.wav
id10002,..\data\vox1_indian\id10002\QanuGhOhb9A\00004.wav
id10002,..\data\vox1_indian\id10002\6WO410QOeuo\00003.wav
id10002,..\data\vox1_indian\id10002\RLKKsYiCMvc\00013.wav
id10002,..\data\vox1_indian\id10002\RLKKsYiCMvc\00035.wav
id10002,..\data\vox1_indian\id10002\QanuGhOhb9A\00008.wav
id10002,..\data\vox1_indian\id10002\cMGEuZ1zqXk\00002.wav
id10002,..\data\vox1_indian\id10002\SI4D2_YXvBE\00001.wav
id10002,..\data\vox1_indian\id10002\QanuGhOhb9A\00025.wav
id10002,..\data\vox1_indian\id10002\VMaXdHLz5Bk\00003.wav
id10002,..\data\vox1_indian\id10002\QnnjJ9i5WFs\00001.wav
id10002,..\data\vox1_indian\id10002\RLKKsYiCMvc\00031.wav
id10002,..\data\vox1_indian\id10002\RLKKsYiCMvc\00027.wav
id10002,..\data\vox1_indian\id10002\QanuGhOhb9A\00021.wav
id10002,..\data\vox1_indian\id10002\eNc4LrrvV80\00007.wav
id10002,..\data\vox1_indian\id10002\QanuGhOhb9A\00016.wav
id10002,..\data\vox1_indian\id10002\VMaXdHLz5Bk\00001.wav
id10002,..\data\vox1_indian\id10002\RLKKsYiCMvc\00002.wav
id10002,..\data\vox1_indian\id10002\RLKKsYiCMvc\00015.wav
id10002,..\data\vox1_indian\id10002\eNc4LrrvV80\00013.wav
id10002,..\data\vox1_indian\id10002\RLKKsYiCMvc\00004.wav
id10002,..\data\vox1_indian\id10002\TqUbiOgEb0w\00005.wav
id10002,..\data\vox1_indian\id10002\6WO410QOeuo\00011.wav
id10002,..\data\vox1_indian\id10002\QanuGhOhb9A\00002.wav
id10002,..\data\vox1_indian\id10002\RLKKsYiCMvc\00003.wav
id10002,..\data\vox1_indian\id10002\QanuGhOhb9A\00013.wav
id10002,..\data\vox1_indian\id10002\gaQqIoV_aLY\00002.wav
id10002,..\data\vox1_indian\id10002\gaQqIoV_aLY\00001.wav
id10002,..\data\vox1_indian\id10002\eNc4LrrvV80\00004.wav
